PHASE 2 - opencl_workload_add_matrix,add_matrix_pipeline,Pipeline | matrix one write [EXECUTION],0,0,0.000384
PHASE 2 - opencl_workload_add_matrix,add_matrix_pipeline,Pipeline | matrix one write [EXECUTION],0,0,0.000384
PHASE 2 - opencl_workload_add_matrix,add_matrix_pipeline,Pipeline | matrix one write [EXECUTION],0,0,0.000384
PHASE 2 - opencl_workload_add_matrix,add_matrix_pipeline,Pipeline | matrix one write [EXECUTION],0,0,0.000416
PHASE 2 - opencl_workload_add_matrix,add_matrix_pipeline,Pipeline | matrix one write [EXECUTION],0,0,0.000384
PHASE 2 - opencl_workload_add_matrix,add_matrix_pipeline,Pipeline | matrix one write [EXECUTION],0,0,0.000384
PHASE 2 - opencl_workload_add_matrix,add_matrix_pipeline,Pipeline | matrix one write [EXECUTION],0,0,0.000384
PHASE 2 - opencl_workload_add_matrix,add_matrix_pipeline,Pipeline | matrix one write [EXECUTION],0,0,0.000384
PHASE 2 - opencl_workload_add_matrix,add_matrix_pipeline,Pipeline | matrix one write [EXECUTION],0,0,0.000416
PHASE 2 - opencl_workload_add_matrix,add_matrix_pipeline,Pipeline | matrix one write [EXECUTION],0,0,0.000384
PHASE 2 - opencl_workload_add_matrix,add_matrix_pipeline,Pipeline | matrix one write [EXECUTION],0,0,0.000416
